WAP001,WAP002,WAP003,WAP004,WAP005,WAP006,WAP007,WAP008,WAP009,WAP010,X,Y
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,0
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,0
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,0
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,0
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,0
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,0
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,0
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,0
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,0
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,0
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,1
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,1
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,1
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,1
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,1
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,1
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,1
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,1
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,1
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,1
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,2
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,2
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,2
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,2
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,2
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,2
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,2
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,2
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,2
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,2
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,3
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,3
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,3
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,3
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,3
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,3
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,3
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,3
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,3
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,3
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,4
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,4
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,4
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,4
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,4
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,4
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,4
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,4
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,4
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,4
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,5
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,5
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,5
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,5
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,5
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,5
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,5
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,5
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,5
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,0,5
